Representation Size,R50-Rand,R50-SVD,R50-FF,R50-NRL,R50-NRL-E,SLIM
8,2.36,19.14,58.93,62.19,57.45,1
16,12.06,46.02,66.77,67.91,67.05,5.12
32,32.91,60.78,68.84,69.46,68.6,16.952
64,49.91,67.04,69.41,70.17,69.61,35.602
128,60.91,69.63,69.35,70.52,70.12,51.16
256,65.75,70.67,69.72,70.62,70.36,60.608
512,68.77,71.06,70.18,70.82,70.74,65.818
1024,70.41,71.22,70.34,70.89,71.07,67.186
2048,71.19,71.21,71.19,70.97,71.21,66.098
