Representation Size,R50-Rand,R50-SVD,R50-FF,R50-NRL,R50-NRL-E
8,0.006073,0.093771,0.46459,0.464556,0.422367
16,0.038787,0.284358,0.532455,0.532699,0.520654
32,0.142724,0.418801,0.545814,0.547244,0.538911
64,0.27769,0.484427,0.552802,0.554836,0.545839
128,0.392846,0.517366,0.555656,0.558218,0.550336
256,0.463802,0.530039,0.55722,0.559651,0.554179
512,0.504981,0.536166,0.557844,0.560243,0.55741
1024,0.527117,0.538637,0.559525,0.560945,0.559485
2048,0.538737,0.538744,0.559528,0.56125,0.561159
